"text","cmp_code","eu_code"
"1 Protect Britain’s Place in Europe","H",NA
"1.1 Giving the people the final say","H",NA
"Liberal Democrats are open and outward-looking.","107",NA
"We passionately believe that Britain’s relationship with its neighbours is stronger as part of the European Union.","108",NA
"Whatever its imperfections, the EU remains the best framework for working effectively and co-operating in the pursuit of our shared aims.","108",NA
"It has led directly to greater prosperity,","410",NA
"increased trade,","407",NA
"investment and jobs,","701",NA
"better security","104",NA
"and a greener environment.","501",NA
"Britain is better off in the EU.","108",NA
"Liberal Democrats campaigned for the UK to remain in the EU.","108",NA
"However, we acknowledge the result of the 2016 referendum, which gave the government a mandate to start negotiations to leave.","202.4",NA
"The decision Britain took, though, was simply whether to remain in or to leave the European Union.","202.1",NA
"There was no option on the ballot paper to choose the shape of our future relationship with the EU on vital issues including trade, travel or security.","108",NA
"While much remains uncertain about Theresa May’s approach, it is now clear that the Conservatives are campaigning for a hard Brexit.","108",NA
"This means leaving the single market, ending freedom of movement and abandoning the customs union – even though these choices will make the UK poorer and disappoint many leave voters who wanted a different outcome.","108",NA
"The effects of Brexit are already being felt.","108",NA
"The value of the pound has plummeted.","408",NA
"Inflation has risen.","408",NA
"Growth in the economy has slowed","410",NA
"and the government is already borrowing billions more to fill the gap in lost tax revenue.","414",NA
"Young people, who voted overwhelmingly to remain, are being told their voices do not matter.","202.1",NA
"Urgent problems, such as the future of the NHS, are being neglected because of the sheer scale of the challenge posed by Brexit.","108",NA
"A hard Brexit will make all these problems worse.","108",NA
"It is the wrong choice for the country.","108",NA
"Liberal Democrats will fight to prevent a hard Brexit.","108",NA
"At the end of negotiations there will be a decision on the deal.","202.1",NA
"The Conservatives want the decision to be taken by politicians.","202.1",NA
"Liberal Democrats believe the British people should have the final say.","202.1",NA
"That’s why, when the terms of our future relationship with the EU have been negotiated (over the next two years on the Government’s timetable), we will put that deal to a vote of the British people in a referendum,","202.4",NA
"with the alternative option of staying in the EU on the ballot paper.","108",NA
"We continue to believe that there is no deal as good for the UK outside the EU as the one it already has^as a member.","108",NA
"Every vote for the Liberal Democrats in this election is a vote to give the final say to the British people.","202.1",NA
"1.2 Fighting a hard Brexit","H",NA
"During negotiations, we commit ourselves to use our strength in parliament to press for keeping Britain as close as possible to Europe.","108",NA
"Our priorities will include: Protection of rights for EU citizens and UK citizens:","108",NA
"We will press for the UK to unilaterally guarantee the rights of EU nationals in the UK, ending their ongoing uncertainty.","108",NA
"We will call for the overhaul and simplification of the registration process and the requirements for EU nationals to obtain permanent residence and UK citizenship, as the current system is not fit for purpose.","303",NA
"We will urge the government, and use our influence with Liberal leaders in European countries, to secure the same rights for UK citizens living in European Union countries.","108",NA
"Membership of the single market and customs union: We believe that any deal negotiated for the UK outside the EU must ensure that trade can continue without customs controls at the border,","108",NA
"and must maintain membership of the single market, which smooths trade between the UK and the continent by providing a common ‘rule book’ for businesses and a common mechanism to ensure that everyone abides by the rules.","108",NA
"Freedom of movement: We support the principle of freedom of movement – to abandon it would threaten Britain’s prosperity","410",NA
"and reputation as an open, tolerant society.","607.1",NA
"Any deal negotiated for the U K outside the EU must protect the right to work, travel, study and retire across the EU.","108",NA
"Any restrictions sought by the government must take account of the vital importance of EU workers to the British economy, including public services.","607.1",NA
