"text","cmp_code","eu_code"
"A GREEN INDUSTRIAL REVOLUTION","H",NA
"11 ECONOMY AND ENERGY",NA,NA
"19TRANSPORT",NA,NA
"22 ENVIRONMENT",NA,NA
"25 ANIMAL WELFARE",NA,NA
"ECONOMY AND ENERGY","H",NA
"This election is about the crisis of living standards","503",NA
"and the climate and environmental emergency.","501",NA
"Whether we are ready or not, we stand on the brink of unstoppable change.","501",NA
"We must confront this change while dealing with the growing inequality and insecurity in Britain.","503",NA
"Labour led the UK Parliament in declaring a climate and environmental emergency.","501",NA
"The next Labour government will lead the world in fighting it, with a plan to drive up living standards by transforming our economy into one low in carbon,","501",NA
"rich in good jobs,","701",NA
"radically fairer","503",NA
"and more democratic.","202.1",NA
"The climate crisis ties us all into a common fate.","501",NA
"This election is our best hope to protect future generations from an uninhabitable planet.","501",NA
"The Intergovernmental Panel on Climate Change has said we need to cut global emissions in half by 2030 to have a chance of keeping global heating within safe limits – that means acting now, and acting decisively.","501",NA
"The Tories wasted a decade serving the interests of big polluters.","501",NA
"Labour will use the crucial next decade to act.","305.1",NA
"The Tories slashed support for renewable energy while pushing through dangerous fracking.","416.2",NA
"Now Britain is decades off course on vital emissions targets.","501",NA
"That’s why Labour will kick-start a Green Industrial Revolution","416.2",NA
"that will create one million jobs in the UK","701",NA
"to transform our industry, energy, transport, agriculture and our buildings","411",NA
",    while restoring nature.","501",NA
"Our Green New Deal aims to achieve the substantial majority of our emissions reductions by 2030 in a way that is evidence-based,","416.2",NA
"just and that delivers an economy that serves the interests of the many, not the few.","503",NA
"Just as the original Industrial Revolution brought industry, jobs and pride to our towns, Labour’s world-leading Green Industrial Revolution will rebuild them,","416.2",NA
"with more rewarding, well-paid jobs,","701",NA
"lower energy bills","503",NA
"and whole new industries to revive parts of our country that have been neglected for too long.","410",NA
"For some, industrial transition has become a byword for devastation, because successive Conservative governments were content to sit back and leave the fate of whole industries and communities at the mercy of market forces.","403",NA
"A Labour government will never let that happen.","403",NA
"We will work in partnership with the workforce and their trade unions in every sector of our economy, so that they lead the transition in their industries,","701",NA
"creating new, good-quality jobs","701",NA
"and making sure that their extensive skills are passed on to the next generation of workers.","701",NA
"We will show the world how prioritising sustainability will not only deliver immediate improvements to everyone’s lives but also offer humanity a pathway to a more equitable and enlightened economy:","416.2",NA
"one that protects our environment,","501",NA
"reins in corporate power,","403",NA
"revitalises democracy,","202.1",NA
"unites our communities,","606.1",NA
"builds international solidarity","107",NA
"and promises a better quality of life for all.","503",NA
"The scale of the challenge requires nothing less.","416.2",NA
"Tackling the destruction of our planet is a question of justice – for the communities at home and abroad who are most affected by it and for our children who will bear the consequences if we don’t.","503",NA
"Social justice will define Labour’s approach.","503",NA
"We will make sure that the costs of the green transition fall fairly and are mostly borne by the wealthy and those most responsible for the problem.","503",NA
"2019 saw the blossoming of a global movement calling on politicians to wake up and act on the climate and environmental emergency.","501",NA
"Labour welcomed that movement and, as a government in waiting, we have turned its demands into detailed, credible plans for real change.","501",NA
"Investment","H",NA
"Delivering the far-reaching change needed to tackle the climate and environmental emergency will require a full mobilisation of national resources, both public and private.","405",NA
"Labour will create a Sustainable Investment Board to bring together the Chancellor, Business Secretary and Bank of England Governor to oversee, co-ordinate and bring forward this investment – involving trade unions and business.","405",NA
"We will ask the Office for Budget Responsibility to incorporate climate and environmental impacts into its forecasts so that the cost of not acting will be factored into every fiscal decision.","416.2",NA
"The cost of not acting is far greater than the cost of acting.","416.2",NA
"We will launch a National Transformation Fund of £400 billion","416.2",NA
"and rewrite the Treasury’s investment rules to guarantee that every penny spent is compatible with our climate and environmental targets –","416.2",NA
"and that the costs of not acting are fully accounted for too.","416.2",NA
"Of this, £250 billion will directly fund the transition through a Green Transformation Fund dedicated to renewable and low-carbon energy and transport,","416.2",NA
"biodiversity and environmental restoration.","501",NA
"We will create a National Investment Bank, backed up by a network of Regional Development Banks, to provide £250 billion of lending for enterprise,","402",NA
"infrastructure and innovation over 10 years.","411",NA
"They will be mandated to lend in line with our mission to decarbonise our economy","416.2",NA
"while increasing productivity","410",NA
"and creating good jobs across the country.","701",NA
"As well as large-scale national and regional projects, smaller loans will be available through our new Post Bank based in Post Office branches, enabling thousands of bottom-up transformational changes by start-ups, small businesses, local co-operatives and community projects in towns and villages up and down the country.","402",NA
"We will make sure that the UK’s financial sector is helping to tackle the emergency rather than fuelling it.","416.2",NA
"We will do this by improving the fitness of our financial authorities to mobilise green investment","416.2",NA
"and by giving them powers to manage the risk to financial stability posed by short-sighted investment in polluting assets.","403",NA
"Just 100 companies globally are responsible for the majority of carbon emissions.","403",NA
"We won’t be afraid to tackle this wanton corporate destruction by taking on the powerful interests that are causing climate change.","403",NA
