"text","cmp_code","eu_code"
"Wales, it’s us.","H",NA
"General Election Manifesto 2019","H",NA
"Plaid Cymru Party of Wales","H",NA
"Wales, it’s us.",NA,NA
"A vote for Plaid Cymru in the General Election on 12 December will be a vote for Wales to stay inside the European Union and build a prosperous future.",NA,NA
"A vote for Plaid Cymru in the General Election on 12 December will be a vote for Wales to stay inside the European Union and build a prosperous future.","108",NA
"Westminster does not work for Wales.","301",NA
"As Wales’ leading party of Remain, Plaid Cymru is united in its aim of ensuring Wales remains a member of the European Union.","108",NA
"We are campaigning to give the decision back to the people in a referendum.","108",NA
"No form of Brexit would be good for Wales.","108",NA
"It would devastate the livelihoods of thousands of our people.","108",NA
"The Tories’ plan to take Wales out of the Single Market and the Customs Union will hit the Welsh economy hard.","406",NA
"The Government’s own forecasts suggest it will result in a slow-down in growth of at least -5.5% by 2030.","406",NA
"In this election Plaid Cymru is campaigning for policies that will directly improve the lives of Welsh families,","503",NA
"tackle the climate and biodiversity crisis,","501",NA
"boost our economy,","410",NA
"schools","506",NA
"and health service,","504",NA
"provide free personal care for older people,","504",NA
"and lift 50,000 Welsh children out of poverty.","503",NA
"All these plans will be much more difficult to put into action if Wales is dragged out of the EU by a hard-right wing Westminster government.","108",NA
"While Westminster politicians are deadlocked over Brexit, Wales is being left behind.","503",NA
"It’s time for change in Wales.","503",NA
"It’s time to vote Plaid Cymru.","305.1",NA
"The future, it’s us.","H",NA
"Our Five Key Priorities For Wales: Welsh Green Jobs Revolution","H",NA
"Create tens of thousands of new jobs throughout Wales","701",NA
"by kick-starting a multi-billion investment programme in renewable energy,","402",NA
"transport infrastructure and digital technology,","411",NA
"with the goal of making Wales a carbon and single-use plastic free nation by 2030.","501",NA
"Caring for Everyone","H",NA
"Free social care for the elderly and other vulnerable citizens through a new National Health and Social Care Service,","504",NA
"with an additional 1,000 new doctors","504",NA
", 5,000 new nurses","504",NA
", and 100 new NHS dentists","504",NA
"offering seamless access to health and care for everyone throughout Wales.","504",NA
"A Fair Deal for Families","H",NA
"Universal free childcare for 40 hours a week,","504",NA
"and a new £35 a week payment for every child in low income families, lifting 50,000 children in Wales out of poverty.","504",NA
"Plus £300m extra for schools and colleges to give our children the best start in life","506",NA
"Action on Housing","H",NA
"Major investment in environmentally sustainable affordable homes","504",NA
"and rent relief for people who pay more than 30% of their income on rent.","504",NA
"Combating Crime","H",NA
"Create a Welsh justice system, devolve policing","301",NA
