"text","cmp_code","eu_code"
"2015 Westminster Election Manifesto",NA,NA
"Plaid Cymru means ‘The Party of Wales’ - we stand up for you, your family, your community and all of Wales. Always. We are a party for the whole of Wales - whether you live in a town or in the countryside, whatever your backgroundor language.",NA,NA
"We are ready and able to take on Westminster, challenging the UK parties.We refuse to let Wales be treated as second class, because we’re not tied to London party bosses, unlike ALL the UK parties.",NA,NA
"Our detailed proposals in this manifesto are focused on improving the lives of everyone who lives in Wales.","606",NA
"What Plaid Cymru wants for Wales:",NA,NA
"ccThe people of Wales face a real choice at the election. All three Westminster parties are committed to slash and burn economics. It is likely that there will be another hung parliament after the election. In that scenario, Plaid Cymru could hold the balance of power alongside our colleagues in the SNP. Should that happen, Plaid Cymru will seek a rebalancing of power and wealth in the UK If the people of Wales return a strong team of Plaid Cymru MPs in May then Wales will be best placed to secure an outcome to improve the prospects of our people and communities",NA,NA
"The same deal for Wales on funding and powers as Scotland","301",NA
"To save and strengthen our NHS: 1,000 extra doctors and more nurses","504",NA
"To get Wales working again:50,000 jobs through more public contracts for Welsh companies","701",NA
"A fairer economy: increase the minimum wage to a living wage for more than 250,000 workers","412",NA
"and zero business rates for over 70,000 Welsh companies","402",NA
