"text","cmp_code","eu_code"
"CREATING AN ECONOMY THAT WORKS FOR ALL","H",NA
"Labour’s economic strategy is about delivering a fairer, more prosperous society for the many, not just the few.","503",NA
"We will measure our economic success not by the number of billionaires, but by the ability of our people to live richer lives.","503",NA
"Labour understands that the creation of wealth is a collective endeavour between workers, entrepreneurs, investors and government.","405",NA
"Each contributes and each must share fairly in the rewards.","503",NA
"This manifesto sets out Labour’s plan to upgrade our economy and rewrite the rules of a rigged system, so that our economy really works for the many, and not only the few.","503",NA
"Britain is the only major developed economy where earnings have fallen even as growth has returned after the financial crisis.","701",NA
"Most working people in Britain today are earning less, after inflation, than they did ten years ago.","701",NA
"Too many of us are in low-paid and insecure work.","701",NA
"Too many of us fear our children will not enjoy the same opportunities that we have.","503",NA
"Labour will turn this around.","503",NA
"We will upgrade our economy, breaking down the barriers that hold too many of us back,","503",NA
"and tackling the gender pay gap.","503",NA
"Our National Transformation Fund will deliver the investment that every part of Britain needs to meet its potential, overcoming years of neglect.","411",NA
"Our industrial strategy will support businesses to create new, highskilled, high-paid and secure work across the country, in the sectors of the future such as renewables.","411",NA
"We will stop our financial system being rigged for the few, turning the power of finance to work for the public good.","503",NA
"And we will put small businesses at the centre of our economic strategy.","402",NA
"The growth created by our national investment plan, underpinned by the responsible economic management embodied in our Fiscal Credibility Rule, will create good jobs,","701",NA
"drive up living standards","410",NA
"and improve the public finances.","414",NA
"It is a plan that will deliver Labour’s vision of an economy that works for the many, not just the few","503",NA
"– a Britain in which no one is held back.","503",NA
"A FAIR TAXATION SYSTEM","H",NA
"Taxation is what underpins our shared prosperity.","503",NA
"All of us, including business, benefit from a healthy, educated and skilled population, with access to basic services and secure housing.","503",NA
"We believe in the social obligation to contribute to a fair taxation scheme for the common good.","503",NA
"We will take on the social scourge of tax avoidance through our Tax Transparency and Enforcement Programme,","503",NA
"and close down tax loopholes.","503",NA
"But we will not ask ordinary households to pay more.","701",NA
"A Labour government will guarantee no rises in income tax for those earning below £80,000 a year,","704",NA
"and no increases in personal National Insurance Contributions or the rate of VAT.","704",NA
"Under Labour’s plans, 95 per cent of taxpayers will be guaranteed no increase in their income tax contributions, and everyone will be protected from any increase in personal National Insurance contributions and VAT.","704",NA
"Only the top 5 per cent of earners will be asked to contribute more in tax to help fund our public services.","503",NA
"We renew our pledge not to extend VAT to food, children’s clothes, books and newspapers, and public transport fares.","504",NA
"Corporation tax in the UK is the lowest of any major developed economy.","503",NA
"Our new settlement with business will ask large corporations to pay a little more while still keeping UK corporation tax among the lowest of the major developed economies.","503",NA
"In turn, we will meet the business need for a more skilled workforce with extra corporate tax revenues while contributing to education and skills budgets.","411",NA
"We will protect small businesses by reintroducing the lower small profits rate of corporation tax.","402",NA
"We will also exclude small businesses from costly plans to introduce quarterly reporting","402",NA
"and take action on late payments.","403",NA
"Labour will give HM Revenue & Customs the resources and skills necessary to clamp down hard on those unscrupulous few individuals and companies who seek to avoid the responsibilities that the rest of us meet.","503",NA
"BALANCING THE BOOKS","H",NA
"Our manifesto is fully costed, with all current spending paid for out of taxation or redirected revenue streams.","414",NA
"Our public services must rest on the foundation of sound finances.","414",NA
"Labour will therefore set the target of eliminating the government’s deficit on day-to-day spending within five years.","414",NA
"But government must have a laserlike focus on how we earn, as well as how we spend.","410",NA
"At the same time as eliminating the current deficit, Labour will invest in our future, to ensure faster growth and help us to earn our way as a country again.","410",NA
