"text","cmp_code","eu_code"
"The Green Party for a confident and caring Britain","H",NA
"An Economy that works for everyone",NA,NA
"Protecting our Environment",NA,NA
"Membership of the EU",NA,NA
"Our NHS and Public Services",NA,NA
"Education for all",NA,NA
"Our promise to young people",NA,NA
"A place to call Home",NA,NA
"A safer World",NA,NA
"A citizens' democracy",NA,NA
"A people's transport system",NA,NA
"Our guarantee to you",NA,NA
"The Green Party has big, bold ideas to create a confident and caring Britain that we can all be proud of.","601.1",NA
"We aren’t afraid to hope for a better future or to be honest about how we get there.","305.1",NA
"We believe in being brave, in speaking our minds, and in standing up for what matters.","305.1",NA
"We are proud to do politics differently.","305.1",NA
"Imagine a government that trusts in our common humanity and our capacity to govern ourselves.","606.2",NA
"Imagine a government that believes that the best way forward is by working with each other, rather than against each other.","606.1",NA
"Imagine a government that prioritises the rights of citizens and the environment over those of corporations.","416.2",NA
"Imagine a government that gives everyone a chance and leaves nobody behind in a confident and caring Britain.","503",NA
"That’s the kind of government we would work for.","305.1",NA
"This is what Green MPs promise to do for you and the people and places that you love.","305.1",NA
"We will campaign for your right to vote on the final terms of the Brexit deal, including an option to stay in the EU.","108",NA
"We will push for genuinely affordable, warm homes for everyone","503",NA
"and a public health system free for all.","504",NA
"We will fight for equality, and for a society where nobody is left behind.","503",NA
"We will always act strongly on climate change and to protect the natural world we love.","501",NA
"We will stand up for what matters.","305.1",NA
"This is our Green Guarantee to you.","305.1",NA
"contents",NA,NA
"4 / A green ECONOMY THAT WORKS FOR EVERYONE",NA,NA
"6 / PROTECTING OUR ENVIRONMENT",NA,NA
"8 / MEMBERSHIP OF THE EU",NA,NA
"10 / OUR NHS AND PUBLIC SERVICES",NA,NA
"12 / EDUCATION FOR ALL",NA,NA
"14 / OUR PROMISE TO YOUNG PEOPLE",NA,NA
"16 / A PLACE TO CALL HOME",NA,NA
"18 / A SAFER WORLD",NA,NA
"20 / A CITIZENS’ DEMOCRACY",NA,NA
"22 / A PEOPLE’S TRANSPORT SYSTEM",NA,NA
"A GREEN ECONOMY THAT WORKS FOR EVERYONE","H",NA
"The Green Party believes that our economy should be innovative, collaborative, forward facing and for the benefit of communities and the environment.","416.2",NA
"The economy is all of us: our work, our creativity, what we buy, how we spend our time.","416.2",NA
"It should allow us to lead happy and fulfilled lives.","503",NA
"A Green economy would replace the exploitation of people and resources with decent, meaningful work.","503",NA
"It would create over 1 million jobs through our programme of green investment and restoring the public sector.","701",NA
"Our policies:","H",NA
"Take steps towards the introduction of a universal basic income,","412",NA
"including a government sponsored pilot scheme, as a means to increase security and avoid the poverty trap.","504",NA
"Phase in a 4 day working week (a maximum of 35 hours)","701",NA
"and abolish exploitative zero hours contracts.","701",NA
"Reduce the gap between the highest and lowest paid,","503",NA
"and increase the minimum wage to reach a genuine living wage of £10 an hour by 2020.","412",NA
"End the gender pay gap,","503",NA
"and require a minimum 40% of all members of public company and public sector boards to be women.","503",NA
"Use the government-owned Royal Bank of Scotland to create a network of local people’s banks for every city and region, obliged to lend locally and provide cheap basic banking services.","412",NA
"Ensure that everyone pays their fair share of tax","503",NA
"and there is a crackdown on tax dodging.","503",NA
"Reform taxation to include a wealth tax on the top 1 % of earners, investing in more staff at HMRC so they can work more effectively,","503",NA
