"text","cmp_code","eu_code"
"Foreword","H",NA
"The time to vote Green is now.","305.1",NA
"We know these are dark days.","305.1",NA
"The threat of Brexit hangs over us","108",NA
"and our democracy is under attack.","202.1",NA
"Above all, the climate and environmental emergency rages from the Amazon to the Arctic.","501",NA
"The science is clear - the next ten years are probably the most important in our history.","501",NA
"At this time of crisis, we cannot go on as we are.","501",NA
"If ever there was a time to vote Green, it’s now.","305.1",NA
"We want to unleash a revolution that lifts up everyone.","503",NA
"Our plan for a Green New Deal, and four related programmes of reform, will transform the UK","501",NA
"and improve the quality of everyone’s lives by creating a safer, fairer future for all.","503",NA
"We are the only party you can trust to act in time to tackle the Climate Emergency","501",NA
"in a way that also tackles pressing social problems.","503",NA
"We are the only party you can trust to stand up for remaining part of Europe and for a final say on Brexit,","108",NA
"whilst at the same time tackling the underlying reasons why many people voted to leave.","503",NA
"We are the only party you can trust to fix our broken democracy,","202.1",NA
"by sharing power","301",NA
"as well as wealth more equally, so that we can all be heard.","503",NA
"The Green Party has always been on the right side of history and you can trust us to get the future right too.","305.1",NA
"The choices we make now matter like never before.","601.1",NA
"The UK needs a new start.","601.1",NA
"If not now, then when?","601.1",NA
"This is the manifesto of the Green Party of England and Wales. Separate sister Green parties cover Scotland and Northern Ireland. Many public services are devolved, with the Scottish Parliament, the National Assembly for Wales or the Northern Ireland Assembly taking responsibility. However, most decisions on government expenditure and on taxation are ultimately taken on a UK basis, this is a UK general election and, despite the fact that this Green Party covers only England and Wales, and to maintain consistency and comparability, the policies in this Manifesto will cover the whole of the UK unless otherwise stated.",NA,NA
"EXECUTIVE SUMMARY","H",NA
"To tackle the Climate Emergency,","501",NA
"and deliver social justice, we propose:","503",NA
"The Green New Deal",NA,NA
"The Green New Deal will invest in our shared future, funding improvements in:","416.2",NA
"Energy: including the replacement of fossil fuels with renewable energy.","416.2",NA
"Housing: including the provision of better insulation for all homes that need it,","501",NA
"the delivery of major heating upgrades for 1 million homes a year","501",NA
"and the creation of 100,000 new energy efficient council homes a year.","504",NA
"Transport: including the delivery of a public and sustainable transport revolution, which will allow people to travel cheaply and safely on new trains, buses, cycleways and footpaths.","411",NA
"Industry: including support for businesses to decarbonise","416.2",NA
"and the provision of training to give people skills","411",NA
"to access millions of new green jobs.","701",NA
"Food, Farming & Forestry: including the planting of 700 million trees","703.1",NA
"and support for healthy and sustainable food and farming systems.","703.1",NA
"Incomes: including the creation of a Universal Basic Income, paid to all UK residents","504",NA
"to tackle poverty and give financial security to everyone.","503",NA
"New green homes, new green transport and new green jobs will get us on track to reduce the UK’s carbon emissions to net zero by 2030","501",NA
"and provide new opportunities for everyone to live happier and more secure lives.","503",NA
"This will be a combined investment of over £100 billion a year in the Green New Deal,","402",NA
"with an additional investment in Universal Basic Income.","412",NA
"To help deliver the Green New Deal, we will deliver four further programmes of reform, closely integrated with our Green New Deal proposals:","501",NA
"Remain and Transform","H",NA
"A People’s Vote to decide the way forward on Brexit,","202.4",NA
"in which the Green Party will campaign for remain.","108",NA
"A commitment to realise the full potential of the European Union","108",NA
"to lead the fight against the Climate Emergency","501",NA
"and to improve the lives of workers,","701",NA
"low income families","503",NA
"and refugees.","201.2",NA
"Grow Democracy","H",NA
"Replacing First Past the Post with a proportional voting system,","204",NA
"giving 16-year-olds the vote,","202.1",NA
"reforming government to better combat the Climate Emergency","501",NA
"and devolving power to councils.","301",NA
"The Green Quality of Life Guarantee","H",NA
"Reversing austerity and funding our public services,","504",NA
"tackling discrimination,","503",NA
"ending the war on drugs,","605.2",NA
"restoring our natural environment","501",NA
"and making wellbeing the focus of our economy.","416.2",NA
"The New Deal for Tax and Spend","H",NA
"Ending wasteful spending on government vanity projects","303",NA
"and reforming our tax system so that the wealthiest pay their fair share.","503",NA
"THE GREEN NEW DEAL","H",NA
"Unleashing a Green Economic and Social Revolution","H",NA
"In 2019, we face a collective challenge greater than we have faced for decades.","606.1",NA
"The climate we all rely on is breaking down.","501",NA
"The impacts are starting to affect us all - the weather is becoming more extreme, wildlife is declining, sea levels are rising.","501",NA
"Our century is only 19 years old, but already we have had 18 of the hottest years on record.","501",NA
"This summer saw the hottest day ever recorded in the UK, and the hottest month ever recorded across the world.","501",NA
"and the hottest month ever recorded across the world.","501",NA
"None of this is happening by accident.","416.2",NA
"It’s the consequence of an out-of¬control economic system that plunders the Earth’s natural resources to create wealth for the few,","416.2",NA
"casting the climate into chaos","416.2",NA
"and causing corrosive levels of inequality.","503",NA
"It’s time for a new start, so we have developed the Green New Deal.","501",NA
"This is a comprehensive ten-year plan ambitious enough to tackle climate and ecological breakdown at the scale and speed set out by science.","501",NA
"It will deliver a fast and fair transformation of our economy and society, renewing almost every aspect of life in the UK:","416.2",NA
"from the way we produce and consume energy,","416.2",NA
"to the way in which we grow the food we eat,","416.2",NA
"and how we work, travel, and heat our homes.","416.2",NA
"As the originators of the Green New Deal, we are the only party you can trust to act in time to tackle the Climate Emergency","501",NA
"and rapidly reduce social and economic inequality","503",NA
"- and to make these our top priorities.","305.1",NA
"The Green New Deal will get the UK on track to reducing climate emissions to net zero by 2030 by:","501",NA
"Meeting most of our energy needs through the domestic production of renewable energy.","416.2",NA
"Reducing our overall energy demand from buildings and homes.","416.2",NA
"Transforming UK industry, transport and land use.","416.2",NA
"There will be a combined investment of over £100 billion a year in the Green New Deal,","402",NA
"with an additional investment in Universal Basic Income.","412",NA
"Through this investment, we will provide new opportunities for everyone to work","701",NA
"and live more sustainably and more securely.","416.2",NA
"The Green New Deal will deliver solid financial foundations across society, through a range of measures including:","416.2",NA
"The creation of millions of new jobs in renewable energy, transport, land management and other sectors","701",NA
"transformed by the transition to a net zero carbon economy.","501",NA
"The provision of the training people need to access these new jobs.","411",NA
"The creation of at least 100,000 new socially rented homes a year through low carbon construction and retrofitting, converting and extending existing buildings.","504",NA
"Implementing the Green New Deal will need to become a fundamental objective of government, nationally and locally, but it will also involve every single one of us: workers and investors, creatives and care workers, scientists and seniors, administrators and accountants, farmers and factory workers, and beyond.","606.1",NA
"Investment will be targeted at those who need it most,","403",NA
"including communities with high unemployment,","701",NA
"those excluded from full participation in the economy","503",NA
"and those dependent on old, energy guzzling, polluting industries.","416.2",NA
"We will work alongside trade unions to ensure a just transition to a green future,","701",NA
"which will leave no one behind.","503",NA
"Business will share collective responsibility for delivering the Green New Deal too and will be incentivised to lead the way by innovating and manufacturing a better future.","402",NA
"Businesses that are currently obliged to maximise returns to shareholders will need to take account of other stakeholders - including the ecosystem - and the impact of their activities on the climate and on communities.","416.2",NA
"Public sector investment to kick-start the Green New Deal will act as a catalyst for private sector investment,","402",NA
"as private investors seek to share in the financial rewards of the transition to a net zero carbon future.","416.2",NA
