"text","cmp_code","eu_code"
"The Labour Party Manifesto 2015",NA,NA
"Britain only succeeds when working people succeed. This is a plan to reward hard work, share prosperity and build a better Britain.",NA,NA
"Britain can be better",NA,NA
"The Labour Party Manifesto 2015",NA,NA
"The Labour Party Manifesto 2015",NA,NA
"Labour’s Manifesto Budget Responsibility Lock",NA,NA
"Our manifesto begins with the Budget Responsibility Lock we offer the British people.","414",NA
"It is the basis for all our plans in this manifesto because it is by securing our national finances that we are able to secure the family finances of the working people of Britain.","414",NA
"The Budget Responsibility Lock guarantees that:",NA,NA
"Every policy in this manifesto is paid for.","414",NA
"Not one commitment requires additional borrowing.","414",NA
"We are the first party to make that pledge and with this manifesto it is delivered.","414",NA
"We will legislate to require all major parties to have their manifesto commitments independently audited by the Office for Budget Responsibility.","414",NA
"A Labour government will cut the deficit every year.","414",NA
"The first line of Labour’s first Budget will be: “This Budget cuts the deficit every year”.","414",NA
"This manifesto sets out that we will only lay a Budget before the House of Commons that cuts the deficit every year, which the OBR will independently verify.","414",NA
"We will get national debt falling and a surplus on the current budget as soon as possible in the next parliament.","414",NA
"This manifesto sets out that we will not compromise on this commitment.","414",NA
"Contents Foreword by Ed Miliband... p5 A better future for Britain... p7 Building an economy that works for working people... p15  Providing world-class health and  education services... p31  Helping our families and communities  to thrive... p43  Reforming government to give more  power to people... p61 Standing up for Britain’s interests in  Europe and the world... p73 Time for change... p83",NA,NA
"Foreword We are a great country. With great people. In the last five years I have heard your  stories, your hopes and your dreams. And I have heard too your frustrations.  The countless people working as hard as they possibly can and still struggling to  pay the bills. The young people with great ambitions but great anxieties about  the future. The dedicated staff of our NHS, who are deeply concerned about  its future. And all those who have served our country, are now retired, and ask  where our country is going. This manifesto is inspired by you. I take a simple view. We are a great country, but we can be even better The fundamental truth that runs through this manifesto is that Britain will only  succeed when working people succeed. It is an idea at the heart of my beliefs.  And it drives our better plan for a better future.  It means a country where hard work is rewarded, with high skill, high wage jobs.  An economy built on strong and secure foundations, where we balance the books.  It means building a future for all our young people, so they can get world-class  apprenticeships and access to affordable, higher education. It means strong  public services, rescuing our NHS.  It means strong communities, where power is shared by people in every part of  the country and where we respond to people’s concerns about immigration, with  proper controls.  It means a Britain where everyone plays by the same rules, including those at the  very top of our society. And it means an outward looking country, engaged in the  world for our national interest. For me, the privilege of serving as Prime Minister in our country would be for one  purpose alone: to work every day to help build a country that works again for  working people. This manifesto is our plan to achieve that goal.  Ed Miliband",NA,NA
"We will build a better future for Britain",NA,NA
"Britain is a great country ready to build a better future.","601",NA
"This manifesto sets out Labour’s plan for national renewal.","601",NA
"The British people, are known for tolerance, responsibility to others and for our belief in the value of hard work.","601",NA
"We look confidently outward to the world.","601",NA
"These are great British traditions - things we all believe in, things our country is good at.","601",NA
"We are at our best when we work together.","601",NA
"We see this every day in our workplaces, in our families, and in our communities.","601",NA
"People want to get on, they want to give their children a better future, and they want to help to change Britain for the better.","601",NA
"But across Britain working people also know a simple truth: the economy is not working for them.","701",NA
"For years now, our economy has not rewarded everyone who put in a good, honest day’s work.","701",NA
"However hard people work, many don’t earn enough to make ends meet.","701",NA
"Too many have been driven from secure, full-time work, into precarious, badly paid jobs – many working on zero-hours contracts.","701",NA
