"text","cmp_code","eu_code"
"Westminster Manifesto 2015",NA,NA
"PROSPERITY  NOT  AUSTERITY",NA,NA
"Message from Dr. Alasdair McDonnell MP A Better Way We need to make Northern Ireland work socially, financially and politically.  The Stormont House  Agreement has only copperfastened the  dependency between our economy and the UK Government. Under the current arrangements we are locked into a subsidy driven existence. The services we can deliver for the people of the North are dictated not by need, but by the amount of money the British Government hands down to Stormont year after year.  The SDLP is offering a simple choice: prosperity not austerity. Over recent years we have been locked into seemingly unending austerity.  Year after year we have seen cuts piled upon cuts, budgets have been slashed and services cancelled.  This is why the SDLP voted against the most recent budget.  We have a choice.  We can choose further austerity or choose a prosperity process.  For Northern Ireland to prosper we must take action.  The Conservative Party’s threat to pull us out of the European Union has left farmers fearing for their future. Jobs have been lost as businesses relocate to ensure that they stay within the EU. Community services, infrastructure projects and northsouth enterprises all face an uncertain future due to the Conservative Party’s pandering to their Eurosceptic fringe.  This isn’t good enough.  The SDLP firmly believe that Northern Ireland is better off within a united Europe.   The two main parties at the heart of the Stormont  Assembly are not delivering politically. Our society remains fragmented, under strain and haunted by our recent past.  The Sinn Féin and the DUP partnership has neither the will nor the ability to do anything about it.  That’s not good enough.  The SDLP don't believe that is good enough for you, for hardworking families or for the generations to come.  There is a better way to do politics and we want to deliver a new political programme which will see us move towards a new, shared prosperity. Peace should have been the beginning of a new prosperity programme, instead it became the end game and we haven't moved on since.  We can do better.  We can all do better. The SDLP takes our seats in Westminster to uphold the interests of all the people of Northern Ireland.  We will be there for everyone in the North, ensuring we get the best possible deal for all.  The SDLP will negotiate a New Economic  Accord with Westminster, an agreement which recognises that for our economy to grow, the people of the North must be at the heart of that process. In this manifesto we set out our longterm vision for a new, prosperous and selfsufficient Northern Ireland that is a part of a new, shared and reconciled island.  There is a better way.  You deserve a new type of politics  we will deliver it.",NA,NA
"""ontents Jobs and the Economy3 Building a Prosperous Northern Ireland 3 Growing the Economy 3 Jobs 4 Jobs that Pay 5 Jobs in Rural Areas 5 Jobs in Tourism 6 Jobs and Education 6 Jobs and the Public Purse 7 A Shared and Safe Community8 A Healthy Northern Ireland 8 Homes and Housing 10 Older People 10 Families and Younger People 11 Protecting Our Environment 11 Agriculture and Rural Development 12 Community Safety 13 Shared Future 14 Justice 14 Dealing with the Past 15 Regional Development 16 Social Security and Welfare Reform 16 Welfare Reform 16 Culture 17 The Irish Language 18 A Northern Ireland that Works20 Extending Devolution 20 Devolution and Equality 21 A New Ireland 21 Europe 22 International Affairs 23",NA,NA
"Jobs and the economy",NA,NA
"A sustainable and prosperous economy will unlock the solutions to a number of long term socioeconomic problems which are holding us back.","410",NA
"In this manifesto we will set out how we propose to address major issues in health, education, financing our public services and protecting those who are genuinely in need.","408",NA
"However, all of this becomes more achievable in a prosperous Northern Ireland.","410",NA
"The best contributor to mental and physical wellbeing, the best counter to long term sickness, is to equip people with the skills they need to secure a job that a prosperous economy will provide.","410",NA
"Balanced, sustained prosperity can assist in changing the lives of so many people who currently feel left behind by society,","410",NA
"by the political process","202",NA
"and by the economy.","503",NA
"It is the reason the SDLP is highlighting the need for a new Prosperity Process.","410",NA
"The SDLP has for many years supported the devolution of corporation tax powers.","301",NA
"However, corporation tax on its own will not bring the growth we need.","410",NA
