"text","cmp_code","eu_code"
"Stop Boris, Stop Brexit","H",NA
"SDLP Manifesto General Election 2019","H",NA
"We’ll take our seats - where it counts, when it counts","H",NA
"THE BATTLE AGAINST BREXIT","H",NA
"After this election, Boris Johnson will use every tool at his disposal to remove Northern Ireland from the European Union to satisfy the ERG and Nigel Farage.","108",NA
"People here know that the European Union has played a central role in our peace process,","108",NA
"providing constitutional comfort","108",NA
"and critical resource to stabilise our new society.","108",NA
"A Conservative government, propped up by the DUP, will not hesitate in dismantling that architecture to achieve their selfish ambition of a reckless Brexit.","108",NA
"Regardless of your feelings about Westminster and its behaviour over the last three years – that is where the battleground against Brexit now is.","108",NA
"The solidarity we have received from our European friends and neighbours has been immense and it is appreciated.","108",NA
"Only MPs who take their seats can stop Brexit and stop Boris Johnson.","108",NA
"Small numbers will make a big difference to the parliamentary arithmetic, particularly when it comes to neutralising the influence of the DUP.","108",NA
"SDLP MPs will use their votes to protect people, businesses and communities here at all costs.","108",NA
"We will go to work to stop Boris and stop Brexit.","108",NA
"A POLITICAL VACUUM","H",NA
"In the absence of an inclusive, power sharing Executive at Stormont, more and more decisions have been outsourced to MPs in London.","301",NA
"While two parties abdicate their responsibility to compromise, come together and govern, Westminster has slowly started to take decisions on issues that we should be taking here.","301",NA
"That includes: Welfare","504",NA
"Equal Marriage","604",NA
"Climate emergency","501",NA
"Historical  Institutional  Abuse compensation","503",NA
"Victims’ Pensions","503",NA
"NHS Privatisation","504",NA
"The SDLP believes that decisions should be made in Belfast not in London.","301",NA
"We want power back on Irish soil not in Westminster.","301",NA
"However, it is impossible to argue that Westminster is irrelevant while it makes decisions affecting the lives of people here.","301",NA
"It is dishonest of other parties to say Westminster does not affect our lives while writing to British Government Ministers asking them to act in our interests.","301",NA
"SDLP MPs are more interested in writing laws than writing letters.","305.1",NA
"We have used our influence at Westminster in the past, across a range of issues, to secure more for people here, including:","305.1",NA
"City and Region growth deals for Northern Ireland Belfast and Derry;","410",NA
"Climate Change legislation in Westminster;","501",NA
"The response to the Saville report;","605.1",NA
"Preventing an amnesty for those who committed sectarian violence;","605.1",NA
"Devolution of Justice to the Assembly;","301",NA
"Voting against welfare cuts;","504",NA
"Voting against the Iraq war;","105",NA
"Pensions for the Desmonds workers;","504",NA
"There is no principle more important than defending and delivering for the people we represent.","305.1",NA
"If you turn up for us, SDLP MPs will turn up for you.","305.1",NA
"Stop Boris, Stop Brexit","H",NA
"THE MOST PRO-EUROPE PARTY","H",NA
"The SDLP is proud of our history as the most pro-European party on this island.","108",NA
"While others opposed the principles of European integration, our leaders were inspired by the European Union as the world’s most successful peace project - bringing former enemies together to forge a new vision for the continent from the fierce antagonism of the second world war.","108",NA
"The European ideals are ingrained in our own peace process thanks to the work of SDLP Leaders and negotiators.","108",NA
"That’s why we were the only party in Northern Ireland to officially register to campaign against Brexit and the first party to propose special status.","108",NA
"It’s also why we are the only local party that consistently voted against withdrawal from the European Union at Westminster after the referendum.","108",NA
"We voted to remain.","108",NA
"For the last three years, Northern Ireland has been abandoned by abstentionist MPs and misrepresented by hardline DUP Brexiteers at Westminster who have ignored the will of people here for five minutes of influence with two Tory governments.","305.1",NA
"This election is your chance to say their time is up.","305.1",NA
"VOTING FOR CHANGE","H",NA
"For the first time in almost three years, we now have the opportunity to remove Boris Johnson from office and put an end to Brexit.","108",NA
"SDLP MPs will use every parliamentary, legal and diplomatic tool at our disposal to stop Brexit.","108",NA
"These include: Voting to revoke the Article 50 notification.","108",NA
"Supporting a People’s Vote second referendum and campaigning to remain.","108",NA
"Voting for continued membership of the EU Single Market and Customs Union.","108",NA
"Voting against any attempt to introduce a customs or regulatory border across Ireland.","108",NA
"Voting to prevent a damaging no-deal exit.","108",NA
"A PROGRESSIVE COALITION","H",NA
"There is no such thing as a good Brexit, there are only degrees of harm which will be inflicted on people, businesses and communities here.","108",NA
"SDLP MPs will defend the interests and the will of people here by voting to stop Brexit at every opportunity.","108",NA
"Pro-Brexit parties are already cooperating, we need a strong coalition to counter their efforts.","108",NA
"That’s why the SDLP has already taken unilateral pre-election action to maximise the pro-remain vote and remove pro-Brexit DUP MPs.","108",NA
"Our first act in a new parliament will be to bring together a progressive cross-party coalition to stop Brexit and stop Boris Johnson.","108",NA
"We will work with Labour, the SNP, the Liberal Democrats, the Greens, Plaid Cymru, the Alliance Party and anyone else who shares our goal of ending this hard Tory Brexit chaos.","108",NA
"Delivering Climate Justice","H",NA
"OUR VISION","H",NA
"A green new deal and just transition that transforms our economy","416.2",NA
"and helps prevent immediate climate breakdown.","501",NA
"OUR PLEDGE","H",NA
"Emergency legislation incentivising the transition from a carbon-intensive to a carbon neutral economy by 2030","416.2",NA
"and support schemes to allow families to make informed decisions about a clean, green future.","416.2",NA
"A SEISMIC CHALLENG E","H",NA
"Climate breakdown is the seismic global challenge facing this generation.","501",NA
"Failure to take action now will result in significant changes to our global climate and weather patterns that will devastate developed and developing economies across the world, leaving millions destitute and poverty-stricken.","501",NA
"Global warming is happening and at a much faster rate than anticipated.","501",NA
"Extraordinary action is required to keep global temperature increases below 1.5 degrees Celsius and avert irreversible damage to our climate.","501",NA
"Over the course of the last few years, millions of citizens, led by young people, across Europe and across the world have called on governments and the political establishment to take action on the climate emergency, for this generation and for the next.","501",NA
"The expressions of this crisis, through protests in European capitals and school strikes on the streets of Northern Ireland, have their roots in social, economic, ecological and political upheaval.","503",NA
"We know that this crisis will disproportionately affect those least able to bear the burden.","503",NA
