"text","cmp_code","eu_code"
"FOR THE COMMON GOOD",NA,NA
"This is the manifesto of the Green Party of England and Wales. It covers England and Wales, not the whole of the United Kingdom. There are independent sister Green parties in Scotland and Northern Ireland. Their websites are at",NA,NA
"www.scottishgreens.org.uk and www.greenpartyni.org",NA,NA
"The text in this document may be reproduced free of charge in any format or medium provided that it is reproduced accurately and not used in a misleading context.",NA,NA
"Enquiries relating to the content of and the copyright in this document should be sent to: The Press Office The Green Party of England and Wales Development House 56–64 Leonard Street",NA,NA
"Britain has the wealth and resources to do great things.  We can build an economy that gives everyone their fair share of the world’s sixth-richest economy.  We can create a humane,  caring society that supports everyone’s needs.  And we can be a world leader in tackling the threat of climate change.",NA,NA
"Sadly, our current politics – dominated by a small social group and the power of vested interests - are failing to realise this potential.",NA,NA
"Our manifesto is a bold plan to create a more equal, more democratic society while doing our part to heal the planet,  which has been severely damaged by the effects of an unstable, unsustainable economy.",NA,NA
"The austerity experiment has failed, as it did in the 1930s.  Most people have seen their living standards fall, while the top one perce333nt have increased their wealth. Millions of households are living in poverty, in fear of want.",NA,NA
"Our NHS is being handed over to the private sector, resulting ina more expensive and inferior service, while highly skilled staffare underpaid and treated without proper respect.",NA,NA
"Governments of all colours – except Green – are failing to get to grips with climate change – the greatest challenge of our time.",NA,NA
"Yet none of this is inevitable – there is a real alternative. We do not apologise for being bold, ambitious or having a longterm vision for our country.  We certainly cannot continue as a nation on our current path.",NA,NA
"We believe in restoring and extending our public services to create good jobs and meet the needs of a diverse population.",NA,NA
"We believe in tackling climate change – taking serious action to limit our emissions at home and fi ghting for a fair global deal that secures humanity’s shared future.",NA,NA
"We believe that we can build a society that works for the common good – and that those with the broadest shoulders really should pay their fair share towards it.  Together, we can do this.  We must do this.  NATALIE BENNETT, GREEN PARTY LEADER",NA,NA
"We face three connected crises: Healing the planet from the effects of an unstable, unsustainable economy.","416",NA
"Creating a more equal society, reversing the trend towards a society divided between poverty and great wealth.","503",NA
"Creating truly democratic central and local government that governs for the common good.","202",NA
"To help heal the planet we will: Make achieving international agreement and action to limit climate change to below 2 degrees C of warming the major foreign policy priority.","501",NA
"Invest in an £85 billion public programme of renewable electricity generation,","501",NA
"flood defences","501",NA
"and building insulation.","501",NA
"Support local sustainable agriculture, with respect for animals and wild places.","501",NA
"Cut emissions by providing cheaper public transport and encouraging cycling and walking.","501",NA
"To become more equal and support our public services we will: End privatisation in the National Health Service,","504",NA
