"text","cmp_code","eu_code"
"Introduction","H",NA
"The Liberal Democrats are the only party contesting this election with a clear plan for how we will build a brighter future.","305.1",NA
"The first step of our plan for a brighter future is simple: stop Brexit","108",NA
"and use the Remain Bonus to invest in public services.","504",NA
"We are unashamedly fighting to stay in the European Union,","108",NA
"and we are the strongest party of Remain.","108",NA
"We believe that our best future as a country is as a member of the European Union.","108",NA
"Any form of Brexit will damage our economy, put jobs at risk, hurt our NHS and put our family of nations under enormous strain.","108",NA
"There is no Brexit deal that will ever be as good as the deal we currently have as a member of the European Union.","108",NA
"Our determination to stop Brexit isn’t just about retaining membership of this or that EU institution.","108",NA
"It’s about who we are as a country and the values that drive our choices.","601.1",NA
"It’s about choosing to work with others in taking on the big challenges that we face, whether it’s the climate crisis or cybercrime.","107",NA
"It’s about recognising that the zero-sum games of the past no longer apply to a world where our future prosperity is so interlinked with that of our closest allies.","107",NA
"Staying in the European Union will secure a £50 billion Remain Bonus, with the economy two per cent larger by 2024-25.","108",NA
"We can invest that bonus in our schools,","506",NA
"and on tackling in-work poverty and inequality.","503",NA
"A Liberal Democrat government will take urgent action to save our planet.","501",NA
"We are the last generation that can stop irreversible climate change.","501",NA
"We’ve already seen how floods and wildfires are becoming an ever more regular occurrence in our country.","501",NA
"And, though we should be proud to be the first country to declare a climate emergency,","501",NA
"we cannot ignore the fact that the government has done little else since then.","501",NA
"In the meantime, it’s been young people who have consistently put the climate crisis back on the agenda with their inspirational climate strikes.","501",NA
"The Liberal Democrats are the only party with a radical, credible and detailed plan to tackle the climate emergency as soon as possible.","501",NA
"We will deliver a ten-year emergency programme to cut greenhouse gas emissions substantially straightaway","501",NA
"and phase out emissions from the remaining hard-to-treat sectors by 2045 at the latest.","501",NA
"By 2030 we will generate 80 per cent of our electricity from renewables","501",NA
"and cut energy bills and emissions by insulating homes,","501",NA
"prioritising bringing 3.5 million households out of fuel poverty by 2025.","503",NA
"In government, we will give every child the best start in life, no matter their ability or background, and we will empower them to make the most of the challenges ahead.","503",NA
"But currently too many of our schools are falling behind, teaching assistants are being laid off","506",NA
"and cash-strapped councils are struggling to support children with complex needs.","506",NA
"Liberal Democrats will invest in schools to build a brighter future for our children.","506",NA
"We will reverse school cuts with an emergency cash injection so that pupils have the resources they need to learn.","506",NA
"We will increase teacher numbers by 20,000 and let them get on with their jobs, instead of worrying about budgeting for the basics.","506",NA
"We will create a fairer economy, where every person can live a secure, happy and fulfilling life.","503",NA
"To do that, we will provide free childcare for all children with parents in work from nine months","504",NA
"and for all children from two years, up to the time they start school.","504",NA
