"text","cmp_code","eu_code"
"Introduction to Our ManifestoSuzanne Evans Deputy Chair, Policy//At the last general election, leaving the European Union was UKIP’s dream. //When we produced the UK’s first ever fully costed and independently verified manifesto, we outlined a vision of how strong and democratic Britain could be if we grasped the opportunity to become an independent, sovereign nation once again. //  Now, Article 50 has been triggered, and we dare to believe our dream will become reality within the next two years. //UKIP sets out in this manifesto six ‘Brexit Tests’ which need to be passed before we can say we are finally free of the EU. // Whoever forms the next government must take note. //While some parties tear up their previous manifestos, UKIP is a party that likes to stick to its principles. // The £35 billion we will use to finance our public spending priorities has again come from reasonable cuts to the foreign aid budget, // scrapping HS2, // amending the Barnett Formula// and the savings we will make in two years’ time by leaving the EU. // For the second general election in a row, UKIP’s spending proposals do not involve raising any taxes. //UKIP’s policies have been developed not to catch the public imagination – although we think they will – but to deliver what Britain really needs// and what we can afford. // These are our spending priorities for the next parliament: Invest an extra £11 billion every year into the NHS and social care by the end of the next parliament, //raising caps on medical school and nurse training places, // and increasing funding for mental health and dementia//•Raise the threshold for paying income tax to £13,500, // cut taxes for middle earners, // abolish the TV licence //and cut VAT on household bills//•Scrap tuition fees for science, technology, engineering, mathematics, and medicine students//•Provide up to 100,000 new homes for younger people every year//•Maintain all pensioner benefits and the pensions Triple Lock//•Protect disability and carer’s benefits//•Spend a genuine two per cent of GDP on defence, plus £1 billion every year//•Fund 20,000 more police officers, // 7,000 more prison officers, // and 4,000 more border force staff //•Revive our coastal communities and fishing villages//•Cut Business Rates for the smallest businesses//•Commission a dedicated hospital ship to assist our armed forces// and deliver humanitarian medical assistance worldwide//Then there are the policies that only UKIP is prepared to commit to: reducing net migration to zero, // putting integration at the top of the political agenda, // abolishing the House of Lords// and creating an English parliament. //Our country needs radical social, // economic, // and democratic change. // Brexit heralds a huge potential to shake things up, //but it will take a political party like UKIP to stand up to the tyranny of the status quo, // if we are really to pull Britain Together.",NA,NA
"Brexit Britain: The Key Tests","H",NA
"UKIP has set out six key Brexit tests and until each one of them has been met, we will not have the Brexit the British people voted for on  23rd June last year.","110",NA
"One of the most crucial tests is regaining the fishing rights Britain has under international law.","703.1",NA
"The Conservatives already look to be backsliding on this.","703.1",NA
"More than 17 million of us voted ‘Leave,’ giving the government the largest democratic mandate in the history of  British politics. There should be no question of turning back, yet the Tories are leaving the door to the EU wide open. UKIP is the only party that will genuinely respect the referendum result. Gerard Batten MEP, Brexit Spokesman",NA,NA
"UKIP believes the UK should have already left the EU, and that following the Article 50 process will lead us to make too many concessions to Brussels.","110",NA
"Theresa May has already shown signs of capitulating on key issues such as immigration","601.2",NA
"and freeing the UK from the jurisdiction of the European Courts.","110",NA
"What concessions will she make next?","305.2",NA
"Theresa May should not be allowing the EU to influence how, when, and on what terms we leave.","305.2",NA
"Ours is a position of inherent strength, and we should be acting from that position of strength, not giving up before negotiations have even begun.","601.1",NA
"HOW BRITAIN COULD, AND STILL SHOULD, LEAVE THE EUROPEAN UNION","H",NA
"Repealing the European Communities Act (1972) should be the first, not the last step in the leaving process.","110",NA
"There is no legal or moral obligation to use Article 50; we have the legal right to withdraw from the EU unilaterally.","110",NA
"Article 50 is a trap designed to obstruct countries from leaving the EU.","110",NA
"The longer the leaving process lasts, the greater the chance of the Referendum decision being overturned.","202.4",NA
"May’s decision not to implement the decision of the Referendum as quickly as possible, but follow a slow route that suits the EU, is very worrying.","305.2",NA
"By repealing the 1972 Act we could immediately take back control of key policy areas such as immigration and border controls,","601.2",NA
"fishing,","703.1",NA
"farming,","703.1",NA
"trade,","407",NA
"security and defence,","104",NA
"and police and criminal justice.","605.1",NA
"All EU laws could remain in place temporarily, until they are repealed individually, amended , or allowed to stand.","110",NA
"THE OPEN DOOR TO THE 2019 EU ELECTIONS","H",NA
"By now, a Bill for the repeal of the European Elections Act (2002) should have been placed before parliament, to ensure no British national can stand for election to the European Parliament in 2019.","110",NA
"This would have been a clear sign that there is no going back on Brexit, yet this has not happened.","110",NA
"THE EU PLAN TO STOP US LEAVING","H",NA
"Article 50 is not just a two-year process, as it makes provision for negotiations to extend for an indefinite time beyond that.","110",NA
"We are likely to find ourselves facing protracted and tortuous negotiations with a recalcitrant, bullying EU for quite some time.","110",NA
"The EU has no incentive to negotiate a ‘good deal’ for the UK because it does not want us to leave.","110",NA
"The UK has massive exposure to the liabilities of the European Central Bank, the European Investment Bank, and various other ‘financial mechanisms’ of the EU so long as we remain a member.","110",NA
"We will be expected to contribute to any Eurozone bailouts.","110",NA
"The EU will also have to plug a huge financial hole of some 12 per cent of the gross EU budget when Britain leaves.","110",NA
"These are just two very good reasons for the EU to keep us dangling on the hook for as long as possible.","110",NA
"The longer the EU can keep Britain in, the greater the opportunity for a new government to reverse the referendum decision, or sign up to some kind of associated membership agreement which, to all intents and purposes, will be just like EU membership.","110",NA
"THERE MUST BE NO COMPROMISE ON BREXIT","H",NA
"Our government and our parliament should implement the referendum decision according to our own requirements, and then agree the terms of our separation.","601.1",NA
"If Theresa May signs a withdrawal agreement which means we will leave in name but not in substance, she will have betrayed Britain to the EU, just as every Prime Minister has done since 1972.","110",NA
"The fact that the political class is choosing to dance to Brussels’ tune proves UKIP is the only political party in Britain you can trust to deliver a true, unequivocal Brexit.","110",NA
"Once we have left the EU, we will not allow the EU flag to be flown from public buildings.",NA,NA
"We will declare 23rd June Independence Day, and make it a bank holiday.",NA,NA
"Our SIX Brexit Tests","H",NA
"Only when the government has passed all these tests can we be sure the British people have got the deal they voted for on June 23rd 2016:","202.4",NA
"1 THE LEGAL TEST","H",NA
"Parliament must resume its supremacy of law-making without restriction.","202.1",NA
"Britain must be completely free from the jurisdiction of the European Court of Justice,","110",NA
"and we must be free, if we wish, to relinquish our membership of the European Court of Human Rights.","110",NA
"2 THE MIGRATION TEST","H",NA
"Britain must have full control of immigration and asylum policies,","601.2",NA
"and border control.","601.2",NA
"We must be not be bound by any freedom of movement obligation,","601.2",NA
"and we must be free to set and meet our own annual migration targets.","601.2",NA
"3 THE MARITIME TEST","H",NA
"The UK’s full maritime sovereignty must be restored and we must have control of our maritime exclusive economic zone, which stretches 200 miles off the coast or to the half-way point between the UK and neighbouring countries.","110",NA
"There must be no constraints on our fishing fleet other than those decided upon by the UK parliament.","703.1",NA
"4 THE TRADE TEST","H",NA
"The UK must retake its seat on the World Trade Organisation and resume its sovereign right to sign trade agreements with other entities or supra-national bodies.","407",NA
"We must have full rights to set our own tariff and non-tariff barriers consistent with WTO rules,","406",NA
"and we must have left both the EU single market and the customs union.","110",NA
"5 THE MONEY TEST","H",NA
"We must not pay any ‘divorce’ payment to the EU, nor contribute to the EU budget.","110",NA
"We must have been paid our share of financial assets from entities such as the European Investment Bank, in which some £9 billion of UK money is vested.","110",NA
"6 THE TIME TEST","H",NA
"Brexit must be done and dusted before the end of 2019.","110",NA
"“Our fishing industry could be worth £6.3 billion when we leave the EU. Free of the Common Fisheries Policy, we can take back full control of the seas up to 200 miles from our coast, as is our right under international law. We can start to rebuild the once- flourishing fishing industry that our membership of the EU destroyed.”",NA,NA
"Mike Hookem MEP,",NA,NA
"Fishing Spokesman",NA,NA
"RESTORING BRITAIN’S FISHING INDUSTRY","H",NA
"Of all the tests for a ‘proper’ Brexit, taking back control of our fisheries is key.","703.1",NA
"The EU’s Common Fisheries Policy is an environmental, economic and social disaster that has devastated fishing communities","703.1",NA
"and caused catastrophic damage to our maritime ecology.","703.1",NA
"Until we have control of our seas and our fish stocks, we do not have Brexit.","703.1",NA
"The EU’s Common Fisheries Policy (CFP) was cobbled together in 1970 as Denmark, Ireland, Norway and the UK were on course to join the then EEC.","703.1",NA
"Together, these countries held 90 per cent of Western European fish stocks.","703.1",NA
"80 per cent of those stocks were British.","703.1",NA
"It was a cynical but legal way to seize the new entrants’ precious marine resources.","703.1",NA
"The central tenet of the CFP, that there should be non-negotiable ‘equal access’ to EEC/EU waters was a condition of EEC/EU membership,","703.1",NA
"Some say Prime Minister Edward Heath committed an act of treachery when he capitulated to the CFP; certainly he allowed the UK’s territorial waters to be plundered by industrialised fishing fleets, which led to huge job and tax revenue losses from fishing and ancillary industries.","703.1",NA
"The CFP has rightly been described as an obscenity because of its reckless fishing quotas and the discard policy.","703.1",NA
"This requires fishermen either to throw back into the seas dead fish caught over quota, or to bring them back to port and send them to landfill.","703.1",NA
"Data on discards from Eurostat show discards equate to some two billion fish suppers thrown back into the sea every year.","703.1",NA
"It is environmental and economic madness.","416.2",NA
"Once we leave the EU, we can also leave the CFP, take back control of our seas, and rebuild our fishing industry.","703.1",NA
"THE 1964 LONDON CONVENTION ON FISHING","H",NA
"UKIP will repeal this little-known convention, an agreement between twelve European nations and the UK, which recognises the historic fishing rights of vessels from the contracting parties to fish in the band of waters between six and twelve nautical miles from the UK coast.","703.1",NA
"When the EU’s Common Fisheries Policy ceases to apply, the UK will automatically establish controlof a 200-mile Exclusive Economic Zone giving our fishermen sole access to the seas within 200 miles of the UK coastline, or at the mid-point between two countries’ coastlines.","703.1",NA
"However, the existence of the pre-EU 1964 Convention could offer a back door to continued EU fishing in British waters, as vessels belonging to signatory nations could cite this legislation and claim ‘historic rights’ to fishing within the 6 to 12 nautical mile band around the UK.","703.1",NA
"The next government’s willingness - or otherwise - to revoke the 1964 London Convention on Fishing could be indicative of their intentions for the fishing industry in the post-Brexit era.","703.1",NA
"Article 15 of the Convention calls for a two-year notice period, so time is of the essence, yet to date no action has been taken.","703.1",NA
"SECURING THE FUTURE OF OUR FISHERIES","H",NA
"Re-building our fishing industry and repatriating one of our nation’s greatest renewable resources will take time but it could be worth as much as £6.3 billion to the UK economy in net-to-plate income alone.","703.1",NA
"This is a golden opportunity for Britain: our fisheries must not be used as a bargaining chip in EU exit negotiations","703.1",NA
"To take back full control of our fisheries, UKIP will: Leave the CFP and withdraw from the 1964 London convention","703.1",NA
"•Restore the UK Exclusive Economic Zone in accordance with international law","703.1",NA
"•End the obscenity of discards and make best use of all fish caught","703.1",NA
