"text","cmp_code","eu_code"
"DESIGNATED SPECIAL STATUS WITHIN THE EUROPEAN UNION","H",NA
"The European Union needs to change.","110",NA
"Sinn Féin wants a social Europe,","108",NA
"which promotes peace,","106",NA
"demilitarisation,","105",NA
"economic and social justice,","503",NA
"international solidarity","107",NA
"and greater democratic accountability.","202.1",NA
"Today’s European Union has created widespread hardship as austerity, deregulation and privatisation have undermined the social function of states","504",NA
"and the rights of citizens,","201.2",NA
"including the rights of workers.","701",NA
"This has assisted the growth of far-right parties, which exploit people’s fears.","602.1",NA
"Brexit is a consequence of that.","108",NA
"Brexit is not the answer.","108",NA
"Brexit will have a detrimental impact on the Good Friday Agreement and the principles of the peace process","106",NA
"as well as devastating consequences for the economy across Ireland.","410",NA
"The alternative to Brexit is designated special status for the North within the European Union.","108",NA
"This can be done within the current constitutional arrangement.","108",NA
"The only other way to prevent Brexit is through a United Ireland","301",NA
"The EU has shown itself to be flexible in dealing with different forms of integration and different forms of relationships for member states and non-member states.","108",NA
"Designated Special Status would preserve access to the Single Market and Customs Union;","108",NA
"ensure that we retain the Common Travel Area","108",NA
"and maintain access to all EU funding streams.","108",NA
"SINN FÉIN PRIORITIES INCLUDE:","H",NA
"Delivering designated special status for the North within the EU.","108",NA
"Continued political representation for the north of Ireland within the EU Parliament and ministers from the Six County Executive should continue to attend EU Council of Ministers’ meetings, when necessary.","108",NA
"■Given that the Good Friday Agreement is a bilateral treaty no agreement between the EU and the British government may apply to the north of Ireland without agreement of both governments.","202.1",NA
"Special provisions to allow the North to seamlessly resume full status within the EU in the aftermath of a successful Irish Unity referendum.","108",NA
"A TIME FOR UNITY","H",NA
"Sinn Féin believes there should be a referendum vote on Irish unity within the next five years.","202.4",NA
"A strong vote for Sinn Féin in this election will strengthen that demand and advance the imperative of ending partition and for reunification.","301",NA
"The imposition of Brexit and cuts from the Tories demonstrates the unjust and undemocratic nature of partition and the union.","202.1",NA
"Partition divided our people,","606.1",NA
"our economy,","408",NA
"our public services,","504",NA
"and the democratic system.","202.1",NA
"It was wrong and it has failed.","301",NA
"Ending partition has now taken on a new dynamic following the Brexit referendum.","301",NA
"Brexit and the imposition of an EU frontier across Ireland has the potential to further entrench partition.","301",NA
"For all of Ireland to prosper, partition needs to be eradicated, not reinforced.","301",NA
"The Good Friday Agreement and subsequent agreements provided for greater all-Ireland cooperation and a peaceful democratic pathway to Irish Unity.","106",NA
"The European Council has acknowledged that in the event of a vote in support of Irish Unity all of Ireland would be part of the European Union.","108",NA
"Now is the time to plan, to build and to win a new, agreed and united Ireland.","301",NA
"A progressive prosperous,","410",NA
"equal","503",NA
"and inclusive Ireland.","607.1",NA
"One in which all identities and traditions have a place and the opportunity to contribute to our shared nation.","607.1",NA
"Now is the time for unity.","606.1",NA
"SINN FÉIN PRIORITIES INCLUDE:","H",NA
"■ Securing and winning a referendum on Irish Unity","202.4",NA
"■ Building a new agreed and united Ireland","301",NA
"■ Realising the economic potential of Irish Unity","410",NA
"ENDING TORY CUTS","H",NA
"Over recent years, Tory governments at Westminster have cut hundreds of millions from public services in the North and sought to impose swingeing cuts on those most in need in society.","504",NA
"Sinn Féin believes public services should be properly financed and that financial supports are given to ensure people can have a decent standard of living.","504",NA
"Tory austerity has not impacted on everyone in the same way.","503",NA
"They have pursued a policy of tax cuts for the rich while the poorest have had their benefits cut.","503",NA
"Despite the Tory cuts, Sinn Féin has sought to protect front-line services and to defend the most vulnerable in our society.","504",NA
"However, the Tory’s tax and cuts agenda continues to increase poverty","504",NA
"and inequality.","503",NA
"The imposition of Brexit on top of their cuts will be a double whammy for our economy","410",NA
"and public services.","504",NA
"SINN FÉIN PRIORITIES INCLUDE:","H",NA
"■ Securing the fiscal powers to build a prosperous","410",NA
"and fair economy","403",NA
"■ Supporting and investing in public services","504",NA
"■ Protecting those most in need","504",NA
"■ Realising the potential benefits of greater all-Ireland co-operation.","101",NA
"WORKING TO ESTABLISH THE EXECUTIVE","H",NA
"In the Assembly elections, the people ofthe North overwhelmingly backed the need for change.","202.1",NA
"They endorsed Martin McGuinness’s position that there had to be an end to political corruption,","304",NA
"to disrespect","503",NA
"and inequality.","503",NA
"Since then, Sinn Féin has engaged in talks to secure the full implementation of the existing agreements and to establish an Executive working with integrity","304",NA
"and delivering for all with equality and respect.","503",NA
"The Executive could be re-established tomorrow if the Tory party and the DUP lived up to their responsibilities.","305.1",NA
"Instead the talks have been suspended by the Tory party for a self-serving election.","305.1",NA
"We have again heard repeated refusals from the DUP to support an Irish Language Act and opposing funding to promote the Irish Language by Belfast City Council.","607.1",NA
"We have witnessed both the Tory party and the DUP setting aside the agreements on legacy and seeking impunity for members of the British army and their agents.","602.1",NA
"We still have a way to go to resolve these issues,","202.1",NA
"to find agreement","202.1",NA
"and get to the bottom of the RHI scandal.","304",NA
"After the election on the 8th June we will immediately return to talks.","202.1",NA
"With your support, we can secure the implementation of agreements and ensure we get an Executive up and working","305.3",NA
"for all in society.","503",NA
"SINN FÉIN PRIORITIES INCLUDE:","H",NA
"■ The full implementation of the Good Friday and subsequent agreements","202.1",NA
"■ An Irish Language Act","607.1",NA
"and Marriage Equality","503",NA
"■ For respect,","503",NA
"equality","503",NA
"and integrity in the Executive","304",NA
"PROTECTING YOUR HEALTH SERVICE","H",NA
"The Tory Party has sought to starve the health service of funds","504",NA
"and promote privatisation.","413",NA
"Sinn Féin believes in a truly national public health service based on need and free at the point of delivery.","504",NA
"Michelle O’Neill as health minister received the Bengoa Report, a plan to transform the health service in the north.","504",NA
"We want to see it resourced and implemented.","504",NA
"The biggest threat to this plan and to your health services is Tory party cuts and the DUP Brexit.","504",NA
"BREXIT AND HEALTH CARE WORKERS","H",NA
"In the north, 8.8% of registered doctors come from other EU countries and many others received their medical training in the south.","504",NA
"There are no arrangements in place to ensure that these crucial staff can remain or have their qualifications recognised.","504",NA
"BREXIT AND CROSS-BORDER HEALTH CO-OPERATION","H",NA
"Services such as paediatric cardiology in Dublin, the new Radiotherapy Unit in Derry, out-of-hour GP services in Castleblaney, and Inishowen, and ENT services at Monaghan, Daisy Hill and Craigavon hospitals have all reduced patient travelling times and waiting lists.","504",NA
"These services and agreements are now at risk due to Brexit.","504",NA
"BREXIT AND HEALTH COVER","H",NA
"EU membership provides access to healthcare in other European countries.","108",NA
"Post-Brexit, your European Health Insurance Card will no longer guarantee you free treatment if you fall sick while travelling or working in the South or in an EU country.","108",NA
"You will face additional health insurance costs.","108",NA
"Brexit threatens not just the free movement of health workers but also induces a chill factor where people may no longer come here to deliver the services we need.","504",NA
"SINN FÉIN PRIORITIES INCLUDE:","H",NA
"■ The North to be designated special status within the EU to safeguard your health and services","504",NA
"■ Retaining crucial health care workers","504",NA
"■ Continued free access to health care across the EU","108",NA
"■ Resisting Tory Cuts to health care and mental health","504",NA
"■ The resourcing of health care and the implementation of the Bengoa Report","504",NA
"■ Greater all-Ireland co-operation in health care","504",NA
"■ The development of truly national health care services","504",NA
"INVESTING IN EDUCATION AND SCHOOLS","H",NA
"The Tory party at Westminster have proposed cutting the education budget.","506",NA
"Sinn Féin is for investing in education and offering opportunities to our young people to study and travel abroad.","506",NA
"Tory cuts and the DUP Brexit will end access to EU funds and supports to research and students.","506",NA
"BREXIT AND SCHOOL FUNDING","H",NA
"Brexit will cut €30 million PEACE IV funding from 350 schools","506",NA
"as well as funding for 7,000 marginalised young people who are not in education, employment or training.","504",NA
"BREXIT AND RESEARCH FUNDING","H",NA
"Higher Education Institutions and other researchers here have accessed €15.5 million funding from the Horizon 2020 programme.","411",NA
"This funding stream for new projects will end with Brexit.","411",NA
"BREXIT AND STUDENTS","H",NA
"The EU’s Erasmus+ programme supports inter-European opportunities for students to travel and study aboard.","706",NA
"This is under threat by Brexit.","706",NA
"There is also no guarantee that qualifications will be recognised in any European country.","706",NA
"BREXIT AND STUDENT FEES","H",NA
"Students from the North who wish to study in the South face the prospect of tuition fees levied at the International Student rate which is between €6,750 and €49,000, more expensive than the current €3,000 charge.","706",NA
"SINN FÉIN PRIORITIES INCLUDE:","H",NA
"■ The North to be designated special status within the EU to safeguard our schools and universities, and our education system.","506",NA
"■ Opposing Tory cuts and investing in education","506",NA
"■ Continued access to Peace and other funding","506",NA
"■ Continued access to EU-wide research opportunities","411",NA
"■ An all-Ireland approach to education planning and student studies","506",NA
"■ The movement of students across Europe and recognition of qualifications.","706",NA
"SAFEGUARDING YOUR RIGHTS","H",NA
"The Tory party and the DUP have sought to minimise your rights and entitlements to human,","201.2",NA
"civil","201.2",NA
"and workers’ rights.","701",NA
"They have refused to sign up to a Bill of Rights that is central to the Good Friday and other agreements.","201.2",NA
"Refused to recognise the rights of Irish speakers,","607.1",NA
"and the right to marriage equality.","604",NA
"We have seen all too clearly the attempts of the British government to obstruct legacy inquests and to offer immunity to their armed forces for crimes carried out here.","602.1",NA
"Sinn Féin believes in a rights-based society,","201.2",NA
"with equality and mutual respect at its core.","503",NA
"Under Brexit your rights and agreements will be further eroded.","201.2",NA
"BREXIT AND HUMAN RIGHTS ACT","H",NA
"The Tory party plan to scrap the 1998 Human Rights Act (HRA) and to remove the British Government from any international human rights accountability.","201.2",NA
"The HRA gives effect to the European Convention on Human Rights (ECHR) and grants access to the European Court of Human Rights (ECtHR).","201.2",NA
"Access to the convention and court are fundamental commitments of the Good Friday Agreement.","201.2",NA
"The ECHR affords protections for fundamental rights including; freedom from torture, the right to a private life, the right of cultural identity, freedom of conscience and religion, freedom from discrimination and the right to life.","201.2",NA
"The scrapping of the HRA would restrict access to this essential Human Rights court.","201.2",NA
"BREXIT AND WORKERS’ RIGHTS","H",NA
"Brexit will mean the EU Charter of Fundamental Rights would not apply, and the EU Court of Justice (ECJ) would not be the final arbiter in providing rights’ protections.","201.2",NA
"Access to the ECJ has been vital to ensuring that women are entitled to equal pay for equal work despite British courts having denied them this for seven years.","503",NA
"It took a decision of the European Commission to ensure that women not only received equal pay for being in the same job as a man but also that they received equal pay for doing work of equal value.","503",NA
"EU law ensured that women could not be dismissed because they were pregnant, overturning a ruling in a British Court that such a dismissal did not constitute sex discrimination.","503",NA
"The ECJ ensured that part-time workers received paid holiday leave and has guaranteed levels of health and safety at work.","701",NA
"SINN FÉIN PRIORITIES INCLUDE:","H",NA
"■ The North to be designated special status within the EU to safeguard your rights and access to the European Court of Human Rights.","201.2",NA
"■ Safeguarding all the rights and entitlements of the Good Friday and subsequent agreements.","201.2",NA
"■ A Bill of Rights for the North.","201.2",NA
"■ An All-Ireland charter of fundamental rights","201.2",NA
"■ Ending Zero Hours Contracts","701",NA
"■ Protecting workers’ rights","701",NA
"SUPPORTING FARMING AND PROMOTING AGRI-FOODS","H",NA
"In the pursuit of Brexit, the DUP and Tory party are prepared to lay waste to our rural communities and farming economy.","703.1",NA
"The farming sector is both a major food provider and a major employer.","703.1",NA
"BREXIT AND FARMING","H",NA
"The north is a net beneficiary of EU funds.","108",NA
"Our agriculture sector is heavily dependent on EU funding via direct payments/single farm payments from the Common Agriculture Policy.","703.1",NA
"It is estimated that 87% of farm incomes come from these payments.","703.1",NA
"Brexit would represent a loss of £236 million per annum to farmers, an average of £10,184 per farm,","703.1",NA
"as well as also removing £186 million from our Rural Development Programme.","703.1",NA
